frame_number,frame_timestamp,mean_rr,sdnn,sdsd,rmssd,sd1,sd2,lf_hf
0,0,584.153870,85.824577,106.361679,105.338829,75.209061,109.103226,0.545772
1,662,584.673096,86.218987,106.290543,105.270897,75.158768,109.740639,0.541473
2,7732,594.460022,90.314690,107.896881,106.820786,76.294617,115.771553,0.621711
3,8491,598.340027,93.146072,113.562508,112.445984,80.300819,118.862396,0.590168
4,8924,594.159973,95.798553,121.968285,120.891441,86.244598,120.977936,0.646063
5,11150,588.019226,88.573997,113.469292,112.415352,80.234909,111.677597,0.741129
6,11801,590.884644,88.145737,112.858635,111.774673,79.803108,111.153381,0.652352
7,12383,590.750000,88.154030,113.262672,112.168999,80.088806,111.063751,0.654139
8,13185,594.666687,93.813148,118.454956,117.365860,83.760300,118.717819,0.729941
9,13914,597.470581,95.667625,118.910194,117.762222,84.082207,121.530579,0.766870
10,16262,607.666687,99.487022,111.275894,110.180336,78.683937,129.227524,1.404200
11,16971,608.745117,100.294136,103.722626,102.808792,73.342972,132.016037,1.523224
12,17808,606.588257,93.850136,96.406845,95.531128,68.169930,123.661339,2.622650
13,19485,617.551025,96.670837,96.626747,95.664062,68.325432,127.891830,2.075096
14,20107,619.326538,95.919098,96.711258,95.736137,68.385185,126.738632,2.112606
15,20890,624.387756,97.899361,99.338173,98.457596,70.242691,129.234482,1.984131
16,21632,630.062500,98.906433,100.506989,99.515175,71.069168,130.535629,1.682898